Year,total_population,Avg_Carbon_emmsion_per capita,total_CE_Ktons,cerial_production_MT,avg_Energy_use_kgoe_percapita,avg_temp_change
1961,31084882437,3.326699508,74702027.06,35266122.85,2419.869665,0.144487717
1962,31635995910,3.498223748,76920056.01,37632588.89,2520.566675,-0.028981255
1963,32321823561,3.946613505,81336518.76,39874609.66,2655.287306,-0.026252472
1964,33013039759,4.04638199,85810854.52,40913428.26,2763.369152,-0.12213133
1965,33721330129,4.06773264,90677310.78,41707289.58,2807.81255,-0.224178356
1966,34467033716,4.029610336,95551636.14,42795068.96,2887.44222,0.09506954
1967,35209941423,4.289600407,98642207.15,46005429.92,2970.598384,-0.131975132
1968,35966656352,4.404778377,104013442,46553012.35,3159.132626,-0.167675108
1969,36760903667,5.292669588,111107313,47390913.45,3344.209238,0.105795596
1970,37566537424,5.72201912,121350516,48288755.55,3619.606023,0.071810837
1971,38392919136,5.776544576,127322883.1,52196076.95,1746.322385,-0.1756407
1972,39209254894,5.816862044,133462218.8,51010507.98,1776.490621,-0.051433628
1973,40020267289,6.251520288,140701690.2,53272670.89,1918.003899,0.198834003
1974,40833908286,5.843891588,141935865.7,53655004.79,1877.855371,-0.130399195
1975,41631906021,5.426117786,144541182,57124869.14,1797.866866,-0.027614279
1976,42417278512,6.33028317,152222390,58464498.12,1870.45956,-0.216075882
1977,43200048354,5.658812933,157626574.6,58606582.51,1910.800782,0.186424838
1978,43996356272,5.563472417,164348355.4,62766830.89,1932.58534,0.05566952
1979,44811947658,5.651319536,168847245.1,62911236.29,2028.960967,0.227004778
1980,45637465534,5.584365196,169599068.3,63910741.26,2044.382492,0.217863256
1981,46485120289,5.066033528,165756703,68176693.4,2019.2123,0.216845509
1982,47367632314,5.03201515,167112269.3,69946273.16,2039.835771,0.153390561
1983,48260574891,4.467547325,169441686.9,68908289.28,2032.297775,0.349081983
1984,49152829361,5.2033495,174382040,75593200.15,2034.459632,0.07840571
1985,50062531477,5.497623815,182533024.7,76093635.59,2007.399874,0.073026068
1986,50999525307,4.251028202,185511112.8,76531998.6,2030.771853,0.13950372
1987,51961266495,4.287081563,190715514.6,74615484.74,2052.149728,0.412755029
1988,52933574350,4.428338079,198142158.5,74740321.61,2073.551742,0.435061796
1989,53904679805,4.553188723,200751628.5,79519203.65,2109.700059,0.281508991
1990,54896113665,4.222375009,194505795.7,82118245.16,2027.705375,0.581593224
1991,55857246238,4.29259654,200090881.7,81281285.25,2224.548351,0.338056777
1992,56790118713,4.42142489,186149603.7,85421877.64,2158.567315,0.253365815
1993,57724835155,4.446008434,187776772.8,83518776.43,2134.294518,0.241493785
1994,58651348560,4.369549233,187605435.1,83558178.66,2123.9943,0.56605236
1995,59577575192,4.417227141,192043365.9,82483046.84,2162.126021,0.613503581
1996,60490269348,4.487275057,197346348.5,88497723.84,2203.233615,0.315366956
1997,61400873845,4.49865357,197795381.7,90191056.46,2263.965983,0.574809685
1998,62302426513,4.444095614,196422827.6,89417560.22,2282.916227,0.955862239
1999,63191942667,4.413151354,199383562,89781095.76,2266.548213,0.741433469
2000,64074846120,4.599564395,204922083.8,88108167.78,2252.084256,0.688363392
2001,64953931484,4.655800242,207367437.3,90814431.89,2304.428789,0.810711591
2002,65832344549,4.621587048,212790501.8,89219398.06,2319.896978,0.926928088
2003,66713931516,4.761140208,225912247.4,89664239.4,2369.440543,0.867215035
2004,67600943592,4.82054392,238185338.4,97850512.14,2158.892172,0.788171708
2005,68494093011,4.867367498,248345613.1,97952369.11,2154.798821,0.881357032
2006,69393616132,4.949676078,259125478.2,97893229.18,2211.206883,0.909976688
2007,70298466300,4.969307247,263980398.9,101138210.2,2232.424815,1.006042735
2008,71215947992,4.962549867,277581967.9,109037003.9,2507.351602,0.817206402
2009,72138983589,4.73323738,272103773.5,107639792.8,2416.852672,0.949020191
2010,73063619587,4.864040664,292473475.1,107379233.7,2486.744336,1.081963415
2011,73984613463,4.822113048,306378694,113013029,2487.4402,0.864479134
2012,74921313476,4.958352827,313033345.6,111886983.7,2459.913141,0.900384341
2013,75874473520,4.868577402,314773913.8,119818821.6,2433.886778,0.977266622
2014,76836487585,4.869893068,317586604.2,122208501.6,2489.21361,1.13247345
2015,77802228760,4.738343015,316660163.1,123958017.8,4228.519975,1.326987539
